Kode,Warna,Ukuran
HD1315-01,Pink List,30x30
HD1315-03,Pink Baby,30x30
HD1315-06,Orange Sedang,30x30
HD1315-07,Kuning Mas,30x30
HD1315-08,Yellow ,30x30
HD1315-11,Pupus ,30x30
HD1315-13,Hijau Baby,30x30
HD1315-15,Dk-Blue ,30x30
HD1315-16,Turkis ,30x30
HD1315-17,Biru Baby,30x30
HD1315-18,Coklat Sedang,30x30
HD1315-21,Ungu Sedang,30x30
HD1315-23,Cream ,30x30
HD1315-24,Abu-abu ,30x30
HD1315-25,Putih,30x30
HD1315T-30,Merah ,30x30
HD1315T-32,Hijau Tua,30x30
HD1315T-33,Biru Tua,30x30
HD1315T-35,Coklat Tua,30x30
HD1315T-37,Hitam ,30x30
,,
HD122-03,Pink Baby,30x70
HD122-18,Coklat Sedang,30x70
HD122-25,Putih ,30x70
,,
HD1674-01,Pink List,30x70
HD1674-02,Pink Sedang,30x70
HD1674-03,Pink Baby,30x70
HD1674-05,Salem ,30x70
HD1674-06,Orange Sedang,30x70
HD1674-07,Kuning Mas,30x70
HD1674-08,Yellow ,30x70
HD1674-11,Pupus ,30x70
HD1674-12,Melon ,30x70
HD1674-13,Hijau Baby,30x70
HD1674-14,Tosca ,30x70
HD1674-15,Dk-Blue ,30x70
HD1674-16,Turkis ,30x70
HD1674-17,Biru Baby,30x70
HD1674-18,Coklat Sedang,30x70
HD1674-21,Ungu Sedang,30x70
HD1674-22,Ungu Muda,30x70
HD1674-23,Cream ,30x70
HD1674-24,Abu-abu ,30x70
HD1674-25,Putih ,30x70
HD1675-30,Merah ,30x70
HD1675-32,Hijau Tua,30x70
HD1675-33,Biru Tua,30x70
HD1675-34,Navy Blue,30x70
HD1675-35,Coklat Tua,30x70
HD1675-36,Ungu Tua,30x70
HD1675-37,Hitam ,30x70
, ,
HD1677-03,Pink Baby,33x76
HD1677-06,Orange Sedang,33x76
HD1677-08,Yellow ,33x76
HD1677-11,Pupus ,33x76
HD1677-13,Hijau Baby,33x76
HD1677-15,Dk-Blue ,33x76
HD1677-17,Biru Baby,33x76
HD1677-18,Coklat Sedang,33x76
HD1677-21,Ungu Sedang,33x76
HD1677-23,Cream ,33x76
HD1677-25,Putih ,33x76
, ,
HD1677T-30,Merah ,33x76
HD1677T-33,Biru Tua,33x76
HD1677T-35,Coklat Tua,33x76
HD1677T-37,Hitam ,33x76
, ,
HD1672-01,Pink List,50x100
HD1672-03,Pink Baby,50x100
HD1672-06,Orange Sedang,50x100
HD1672-08,Yellow ,50x100
HD1672-11,Pupus ,50x100
HD1672-13,Hijau Baby,50x100
HD1672-15,Dk-Blue ,50x100
HD1672-16,Turkis ,50x100
HD1672-17,Biru Baby,50x100
HD1672-18,Coklat Sedang,50x100
HD1672-21,Ungu Sedang,50x100
HD1672-23,Cream ,50x100
HD1672-25,Putih ,50x100
, ,
HD1673-01,Pink List,60x120
HD1673-03,Pink Baby,60x120
HD1673-05,Salem ,60x120
HD1673-06,Orange Sedang,60x120
HD1673-08,Yellow ,60x120
HD1673-09,Kenari ,60x120
HD1673-11,Pupus ,60x120
HD1673-13,Hijau Baby,60x120
HD1673-15,Dk-Blue ,60x120
HD1673-16,Turkis ,60x120
HD1673-17,Biru Baby,60x120
HD1673-18,Coklat Sedang,60x120
HD1673-21,Ungu Sedang,60x120
HD1673-23,Cream ,60x120
HD1673-25,Putih ,60x120
, ,
HD154-01,Pink List,70x135
HD154-03,Pink Baby,70x135
HD154-06,Orange Sedang,70x135
HD154-08,Yellow ,70x135
HD154-11,Pupus ,70x135
HD154-12,Melon ,70x135
HD154-13,Hijau Baby,70x135
HD154-16,Turkis ,70x135
HD154-17,Biru Baby,70x135
HD154-18,Coklat Sedang,70x135
HD154-21,Ungu Sedang,70x135
HD154-24,Abu-Abu ,70x135
HD154-25,Putih ,70x135
, ,
HD8006-01,Pink List,85x165
HD8006-10,Lumut ,85x165
HD8006-11,Pupus ,85x165
HD8006-14,Tosca ,85x165
HD8006-15,Dk-Blue ,85x165
HD8006-16,Turkis ,85x165
HD8006-18,Coklat Sedang,85x165
HD8006-21,Ungu Sedang,85x165
HD8006-23,Cream ,85x165
